id,age,female,baseline_income,baseline_score,treat,post_income
1,33.56,1,26789.67,68.28,0,62247.56
2,32.33,1,29626.08,78.96,1,69314.99
3,37.46,0,37177.57,86.71,0,70216.42
4,39.9,1,30636.2,67.98,0,55827.71
5,8.8,1,23751.76,43.63,0,44556.51
6,24.98,1,28800.94,74.82,1,65044.35
7,28.73,1,22978.4,67.38,0,58390.35
8,24.01,0,31539.85,75.03,0,60769.08
9,44.53,1,17894.25,75.24,1,61873.95
10,58.21,1,24067.42,55.02,0,49406.53
11,27.77,0,25944.39,74.7,1,63116.1
12,34.82,1,35593.19,75.72,0,63852.02
13,47.27,0,27790.65,66.17,0,57211.68
14,23.72,0,33714.62,73.27,1,69463.47
15,28.73,0,27983.83,71.94,0,58637.62
16,31.36,0,29539.62,50.48,1,53544.74
17,48.66,1,18877.15,88.0,0,
18,40.91,0,28364.5,58.74,1,54703.92
19,28.89,0,30242.74,63.99,1,59955.99
20,34.56,1,31618.91,70.9,1,61597.65
21,47.74,1,32264.91,84.7,1,67388.24
22,49.83,1,36370.12,58.85,1,58684.41
23,43.71,1,32252.97,46.02,0,50948.67
24,34.55,1,31416.65,58.07,1,55663.96
25,35.03,1,43862.07,74.77,1,69481.89
26,34.91,0,30453.58,59.11,1,
27,13.95,1,42017.27,67.81,1,66946.84
28,26.3,0,31307.42,73.32,0,59205.31
29,47.4,1,31259.64,69.23,0,59045.4
30,38.09,0,28328.41,71.04,0,59962.81
31,23.43,0,32503.86,72.44,0,61300.32
32,45.01,1,23279.25,83.33,1,58697.42
33,41.2,1,30153.14,87.61,0,65998.41
34,39.28,0,12211.07,42.12,0,45830.51
35,22.76,1,13838.68,69.27,0,54924.13
36,48.49,1,24355.95,57.98,1,57940.77
37,27.86,1,30602.63,67.26,1,57985.9
38,22.35,1,40912.75,76.32,0,62234.14
39,38.12,1,30931.16,82.23,0,63305.76
40,30.93,1,30733.73,40.53,1,48085.3
41,53.03,0,13611.24,66.98,0,52525.15
42,55.1,0,30054.28,56.23,0,57768.0
43,38.17,1,40699.32,57.74,1,65813.29
44,35.97,0,33541.3,62.99,0,52393.33
45,39.59,0,26708.8,78.34,1,71869.34
46,41.72,1,21419.16,56.11,1,51240.98
47,57.79,0,28169.56,61.23,0,51373.6
48,37.87,1,22688.7,86.44,0,64290.31
49,28.15,1,31372.93,39.99,0,49941.42
50,27.07,0,33756.63,65.03,1,57540.38
51,28.52,1,29725.46,82.4,1,66754.83
52,41.11,1,32866.06,46.81,0,
53,35.37,0,35943.94,76.14,0,65986.06
54,49.51,1,27589.15,63.95,0,56702.81
55,46.3,1,43747.02,73.64,0,67156.83
56,39.86,0,13854.17,48.42,0,41610.27
57,41.11,0,20286.27,64.46,1,53802.43
58,49.25,0,24077.65,58.13,1,55574.12
59,29.72,1,27046.36,58.52,1,51491.37
60,41.86,1,14688.73,77.52,0,56490.9
61,34.21,1,28519.79,65.51,0,52683.14
62,43.08,0,28906.86,73.3,1,66024.8
63,30.05,1,30378.13,76.64,1,
64,42.96,0,33126.35,75.06,1,65190.93
65,35.69,0,21182.57,69.5,1,59012.81
66,36.51,1,20835.67,48.06,0,47202.02
67,40.7,1,28514.02,57.51,1,53022.63
68,18.79,0,27955.0,59.08,0,
69,29.29,0,37741.02,49.86,1,57927.02
70,21.92,0,33587.16,51.87,1,59729.82
71,26.34,1,30929.84,52.33,0,56582.21
72,50.67,0,26016.05,52.63,0,52726.38
73,23.83,1,26088.52,63.87,0,54030.04
74,31.28,1,18624.84,68.62,1,63236.4
75,39.22,1,40163.88,78.62,1,70314.74
76,36.55,0,16235.84,66.45,0,51817.82
77,40.9,0,30734.68,59.52,1,59897.84
78,32.97,1,26375.65,55.88,1,56724.54
79,18.48,1,25349.12,67.89,0,60355.47
80,33.21,1,29729.83,73.1,1,67129.94
81,47.53,0,26570.81,81.95,1,71358.99
82,25.63,1,28911.26,68.57,0,54495.12
83,47.59,1,32427.21,74.14,1,68526.96
84,34.81,0,29267.66,56.7,0,51184.86
85,43.52,0,27625.95,49.79,0,47465.94
86,41.64,1,29273.77,69.21,1,59308.37
87,36.82,0,38893.4,47.46,0,54055.59
88,21.39,0,20174.08,71.82,0,
89,39.32,0,33183.92,56.02,1,55754.64
90,20.63,1,25135.39,65.19,1,57184.1
91,56.47,0,37714.5,38.78,0,
92,28.0,0,18010.13,68.21,0,56382.27
93,30.63,1,28159.12,56.07,0,56432.0
94,48.49,0,31440.39,51.03,1,54570.89
95,25.09,0,32766.6,56.77,1,55334.28
96,43.76,0,28296.27,56.92,0,55929.6
97,54.44,0,41011.28,65.47,0,63280.23
98,33.57,0,24602.75,66.44,0,52539.11
99,32.22,0,41138.47,65.6,1,68841.78
100,29.38,0,25969.68,85.91,1,70401.34
101,33.27,0,33770.05,78.92,1,66741.66
102,32.79,0,22072.64,67.93,1,56260.55
103,35.48,0,25935.57,58.91,1,50551.67
104,19.12,1,36046.44,68.27,0,64935.39
105,24.1,0,26744.35,50.22,1,51305.68
106,40.03,0,19949.13,46.04,0,47250.59
107,31.7,0,16411.7,69.4,0,55184.61
108,18.54,1,36083.25,74.86,0,60827.18
109,52.1,1,31557.54,60.25,0,57270.22
110,27.86,1,34700.64,52.9,1,57409.15
111,34.81,1,33373.39,73.69,0,57895.93
112,44.04,0,23273.27,55.34,1,53827.24
113,27.68,0,28542.48,31.44,1,42827.84
114,32.98,0,23459.68,46.76,1,46582.3
115,30.96,0,40213.88,54.76,0,59563.91
116,20.64,0,17519.05,46.28,0,43982.19
117,34.52,1,24976.17,64.88,1,53900.79
118,28.46,0,30613.17,56.91,0,49822.52
119,32.38,0,30938.65,84.82,0,72037.56
120,7.4,0,19767.89,80.85,1,60819.01
121,28.79,0,19804.6,70.35,1,61111.62
122,38.25,0,28452.67,69.27,0,60916.16
123,50.44,1,41027.17,59.58,0,59342.88
124,43.28,0,34879.94,60.84,0,59047.23
125,24.78,0,28479.5,76.3,1,67540.97
126,28.99,0,12000,55.87,1,49005.44
127,41.36,0,21707.58,54.82,1,50351.71
128,27.73,0,38825.63,73.54,1,70620.9
129,47.89,1,40029.63,69.22,1,64690.49
130,41.19,1,40312.88,66.98,1,
131,34.36,0,19457.08,44.41,0,45439.46
132,42.49,1,30914.11,41.42,0,
133,24.95,0,28934.12,38.73,1,
134,41.66,1,22083.75,53.77,1,55568.76
135,31.4,0,26032.32,75.48,0,58180.82
136,28.16,1,23920.5,76.19,1,66170.32
137,30.95,0,30861.31,85.67,1,73400.81
138,44.34,0,20304.86,57.03,1,55728.83
139,35.04,0,13910.53,80.93,1,60386.74
140,31.75,1,38517.48,79.58,1,68607.6
141,50.25,0,12323.13,51.98,1,47893.0
142,26.89,1,26237.56,55.14,1,59754.1
143,30.51,0,30260.6,84.5,1,68949.03
144,39.41,0,29521.13,49.68,1,54800.33
145,31.34,0,23045.66,52.09,1,52267.77
146,30.09,1,24488.81,52.52,0,52731.08
147,43.46,1,28286.26,71.0,1,65915.69
148,35.8,1,25633.7,51.46,0,50583.2
149,36.88,0,28357.67,75.18,0,59261.52
150,24.94,1,22303.0,84.24,0,66601.84
151,39.18,0,23667.21,53.09,1,51721.67
152,42.61,1,34305.03,74.41,0,61254.94
153,37.92,1,23283.64,70.3,0,61115.04
154,29.82,1,28330.25,44.74,1,52823.12
155,20.83,0,18137.9,67.63,1,
156,42.58,1,25155.79,77.22,1,64246.38
157,43.49,1,20368.69,50.16,0,48558.9
158,28.35,0,24544.51,77.28,1,65160.65
159,26.23,1,37225.29,69.23,1,65114.69
160,39.52,1,26527.3,77.04,1,59747.56
161,39.08,0,29255.13,60.9,0,59562.33
162,23.72,0,32095.22,73.64,0,61578.09
163,42.96,1,25711.77,70.69,0,54506.27
164,20.59,0,23535.19,55.0,1,53037.9
165,45.92,1,25391.08,68.12,0,58423.0
166,45.19,0,34166.01,67.56,0,62012.48
167,43.4,0,17515.5,71.52,1,60733.53
168,28.41,1,27929.73,51.9,0,49590.94
169,39.88,0,22231.98,78.29,1,62157.25
170,43.28,0,29209.4,58.79,1,52069.74
171,50.46,0,36134.43,60.55,1,65096.05
172,31.84,0,29340.17,77.94,1,66723.79
173,37.88,1,50500.74,92.3,0,78348.3
174,20.68,1,33190.41,48.76,1,
175,41.76,0,30570.0,46.56,0,48435.05
176,40.3,1,17104.39,75.3,1,66324.72
177,46.97,1,28868.53,72.88,0,63097.41
178,45.36,1,30587.47,64.29,0,50305.08
179,26.3,0,33011.56,74.11,1,65440.74
180,26.07,0,29536.94,45.62,1,54802.33
181,42.88,1,38842.78,59.29,0,55067.78
182,41.68,1,32493.62,67.18,1,64385.88
183,27.63,0,26570.97,69.08,0,60576.19
184,28.29,1,36871.15,52.34,0,49472.94
185,12.28,1,28247.48,71.11,1,56899.16
186,23.84,1,37019.5,73.51,1,63790.52
187,33.25,0,29654.27,39.43,1,
188,31.96,0,19781.12,81.33,0,62849.0
189,35.52,1,26172.86,67.04,1,56106.72
190,29.41,0,19758.95,79.67,0,58291.34
191,35.01,0,31435.22,53.13,0,52925.68
192,42.74,0,24542.23,91.07,1,75219.14
193,43.73,1,23483.49,55.38,1,49110.98
194,38.0,0,34566.51,49.78,0,49618.77
195,39.84,1,31239.1,65.7,0,58060.14
196,48.24,0,33159.76,70.32,0,60656.46
197,36.74,0,25545.74,56.79,0,50364.89
198,52.0,0,35555.74,93.43,1,75487.19
199,38.43,1,31443.2,62.2,0,54885.9
200,23.14,0,24563.04,63.05,1,54284.12
201,40.4,0,26546.79,62.0,0,
202,27.73,1,22213.57,52.78,0,49921.78
203,20.95,1,28121.21,78.27,0,
204,27.29,1,20517.66,70.12,1,57013.48
205,33.03,0,14167.91,72.86,0,57507.17
206,45.17,1,32756.34,70.68,1,61875.8
207,39.79,0,33257.88,57.18,1,60384.7
208,33.91,1,35819.73,60.2,0,
209,14.32,0,28464.5,50.37,0,51198.93
210,43.7,0,23285.33,74.06,0,
211,18.0,1,27681.78,83.08,1,68622.17
212,33.44,1,38886.6,57.47,1,
213,40.87,1,32778.77,49.21,0,52648.33
214,47.16,0,27604.15,54.9,1,55018.16
215,29.34,1,40249.97,49.55,0,48302.31
216,19.61,1,12000,69.98,0,54348.12
217,29.71,0,25855.44,48.19,1,47829.67
218,32.7,1,34030.78,66.24,1,60252.05
219,52.83,0,21192.3,71.05,1,59606.47
220,48.13,1,35165.15,88.44,1,71742.36
221,25.45,0,19566.6,68.2,0,57296.89
222,61.53,1,30900.88,83.08,1,67707.48
223,34.25,0,31530.14,40.55,0,52084.73
224,29.92,1,26557.87,54.21,1,55563.54
225,12.43,0,24093.14,75.8,0,63168.4
226,49.87,0,34839.35,69.01,0,
227,13.14,1,22989.52,87.61,1,67019.46
228,59.49,0,30537.54,62.16,0,52750.97
229,40.3,0,25747.88,77.11,0,66725.75
230,42.05,0,40804.5,54.0,1,57760.6
231,28.52,0,48549.91,36.68,0,51724.28
232,36.31,1,22780.12,67.36,1,56418.62
233,35.28,0,23655.84,82.94,0,60780.06
234,42.71,1,25641.84,73.11,1,64875.09
235,29.86,1,38622.45,54.51,1,56265.33
236,40.79,1,36630.28,53.54,1,63449.47
237,29.71,1,24752.8,76.38,0,64559.4
238,41.37,0,25474.42,57.77,1,53126.42
239,20.27,1,31585.67,61.06,0,56301.75
240,34.55,1,24548.46,64.24,1,56912.4
241,38.96,1,20823.03,61.01,1,56267.05
242,19.98,0,27757.53,49.24,1,52226.27
243,38.47,0,26942.23,77.06,0,62614.55
244,7.45,1,34866.23,64.47,0,61356.62
245,28.45,0,20589.57,60.66,0,53784.36
246,32.09,1,33832.79,66.44,0,56898.34
247,35.14,1,34452.07,82.81,1,68860.01
248,25.29,0,32732.66,65.8,1,65204.88
249,50.66,1,31462.18,65.83,0,60496.68
250,39.11,0,27289.16,54.55,0,51070.39
251,44.13,1,36057.49,63.67,0,60234.03
252,19.89,1,12000,65.88,0,49884.24
253,30.08,1,29997.17,65.38,0,55209.27
254,49.89,0,12000,52.98,0,47282.18
255,21.34,0,15396.17,81.11,1,64383.75
256,49.87,0,32491.21,83.81,0,64423.0
257,22.51,1,43229.05,93.34,1,76663.24
258,34.97,0,32383.28,90.57,0,70481.28
259,30.06,1,32216.32,59.53,0,56203.7
260,38.65,1,20283.34,72.94,1,62464.78
261,25.86,1,24528.01,59.36,0,55559.33
262,35.06,1,35932.75,36.84,0,45759.7
263,42.75,1,37767.0,78.0,0,64879.97
264,35.95,0,22149.84,47.23,1,49774.67
265,46.85,1,28477.05,51.87,0,
266,36.22,0,36571.0,66.1,1,63473.64
267,26.68,0,16736.79,69.23,1,58735.72
268,46.42,1,22606.16,72.0,1,52501.18
269,27.19,0,15565.63,77.74,1,
270,43.73,1,31906.82,77.44,1,65813.38
271,45.12,1,32838.56,70.8,0,
272,35.47,0,35268.99,55.86,1,59488.36
273,20.73,0,21919.1,61.15,1,56422.03
274,53.94,0,22227.44,82.55,1,69289.68
275,38.28,1,27626.42,70.79,0,57708.31
276,32.19,1,24798.25,102.18,1,73857.3
277,28.71,1,18696.29,49.23,0,43784.51
278,37.85,0,27603.22,54.55,1,56887.49
279,34.34,1,31703.61,50.52,1,56561.34
280,36.54,0,24887.24,75.57,1,62743.11
281,57.9,0,17138.93,70.69,1,
282,46.06,1,20914.51,71.57,1,61029.46
283,29.52,1,25433.12,55.15,1,58501.07
284,22.62,1,33545.85,43.21,0,50747.7
285,37.64,0,33791.91,74.77,0,63068.49
286,35.74,1,30837.74,54.04,1,52020.83
287,29.74,0,19954.62,46.71,1,48967.41
288,49.85,0,21072.05,72.63,0,58242.4
289,35.95,0,25338.1,52.96,0,51029.52
290,27.64,0,18550.63,84.7,0,61926.87
291,29.86,0,22518.55,98.08,0,71987.0
292,44.86,1,33404.88,65.61,0,56063.84
293,25.61,0,30329.91,53.0,1,53966.53
294,35.72,0,40406.18,84.01,1,72625.85
295,23.69,1,28852.32,61.55,1,56565.28
296,30.4,0,26146.03,58.55,0,53557.8
297,11.54,1,21515.77,58.66,0,52944.47
298,36.01,1,22186.94,58.48,0,53346.93
299,39.28,0,29242.2,69.11,1,63697.58
300,54.87,0,20108.38,55.56,0,47251.11
301,41.1,1,17913.79,61.2,1,54492.72
302,40.76,0,20730.82,64.15,1,55943.12
303,29.99,0,18551.96,51.9,1,
304,45.06,1,31786.09,65.39,0,61561.0
305,30.87,0,21346.39,60.03,1,55127.65
306,26.71,0,31804.66,76.55,0,63894.5
307,48.02,0,35951.68,50.05,1,58764.8
308,22.66,1,33630.67,47.46,1,56474.6
309,39.38,0,21124.7,66.42,0,53467.87
310,30.12,0,29930.88,70.68,1,63420.07
311,32.59,1,36542.92,62.18,1,61602.14
312,12.35,1,39951.71,60.12,0,64173.66
313,40.05,0,24043.99,74.62,0,56265.95
314,35.87,1,18528.09,70.05,0,58637.03
315,43.84,0,25383.71,64.61,0,56114.39
316,18.89,0,26407.85,68.38,0,58545.61
317,32.82,1,41052.56,51.31,1,
318,47.6,1,29641.18,51.99,1,
319,41.49,0,26773.22,76.75,1,67954.27
320,31.72,1,17503.52,83.72,1,63343.66
321,36.45,0,38168.46,78.66,1,
322,49.93,0,36533.27,32.39,1,48848.09
323,34.44,1,24769.52,69.78,0,57267.02
324,29.66,1,27103.46,64.7,0,52998.73
325,40.98,0,33869.86,68.26,1,62275.58
326,21.66,0,26485.14,71.05,1,65251.54
327,21.45,0,20389.93,75.15,1,57037.82
328,33.67,1,42083.8,73.62,0,64756.15
329,24.81,0,23224.53,92.88,1,70942.49
330,25.05,0,29389.73,35.27,0,45087.66
331,38.42,0,28612.25,48.13,0,49526.69
332,42.88,0,23791.38,58.55,1,53436.29
333,25.3,0,26420.55,74.19,1,59258.47
334,19.65,1,34404.06,71.61,1,62566.6
335,34.7,0,24475.41,62.85,0,53422.28
336,32.48,1,36522.76,79.97,1,
337,37.8,1,22777.77,61.31,1,51905.93
338,37.63,0,24379.56,71.8,1,56901.45
339,32.0,0,27883.57,65.46,1,64169.63
340,53.72,0,37860.15,54.85,1,58423.12
341,34.46,1,30793.86,39.14,1,50076.1
342,8.4,1,22435.01,67.13,0,
343,38.93,1,36587.42,55.39,0,53905.58
344,35.72,0,28345.5,56.02,1,54560.41
345,45.93,0,15875.1,82.56,0,60741.89
346,30.36,1,25542.83,65.21,0,56140.87
347,44.68,0,22900.47,42.37,1,52976.7
348,38.03,1,21189.06,59.7,0,52562.59
349,39.88,0,17676.35,61.04,1,56578.5
350,51.64,1,32018.2,76.54,1,59275.59
351,32.19,1,33128.53,75.02,0,66656.15
352,32.29,1,32442.88,69.92,1,59540.58
353,37.51,1,27897.01,45.97,1,50193.78
354,39.26,1,37637.77,35.11,1,49633.88
355,26.88,1,20702.46,65.97,1,58130.55
356,28.78,0,31004.47,55.54,1,55050.25
357,39.36,1,21682.24,61.99,1,55072.02
358,42.48,1,24148.72,58.86,1,
359,33.99,1,31737.07,75.97,0,61389.83
360,18.15,0,22442.01,76.65,1,64627.92
361,38.74,1,33547.72,81.53,1,67877.46
362,34.35,0,31172.7,64.1,0,57278.41
363,66.49,1,36078.85,77.22,1,65558.26
364,18.64,0,31744.76,47.59,0,54347.76
